Reference area,TIME_PERIOD,fb_index,n_obs,tonnes_CO2,hectares,tonnes_oil,sq_km,cubic_m
Canada,2016,91.0086257525915,2,89881.46870811716,1746977.6314285714,101540.25,2675672.0571432146,
Cyprus,2006,100.0,2,1317.9189478455155,407.66,830.405,2274.8923073153846,
Cyprus,2007,111.5,2,1333.5372224256253,461.58666666666664,863.1350000000001,2275.2192305923077,
Cyprus,2008,94.5,2,1357.2441862729308,450.16833333333335,889.1899999999999,2275.0846927076923,
Cyprus,2009,72.0,2,1323.7267278600382,592.5616666666666,885.2099999999999,2276.388462153846,
Cyprus,2010,86.0,2,1281.9756233696087,587.6916666666667,881.4350000000001,2276.484692323077,
Cyprus,2011,82.5,2,1241.370537417539,588.2766666666666,857.9749999999999,2276.4615377153846,
Cyprus,2012,96.5,2,1166.5730039491837,711.4566666666666,782.47,2276.6923073307694,
Cyprus,2013,130.5,2,1059.7412577333605,772.4066666666666,716.625,2276.976922707692,
Cyprus,2014,107.5,2,1103.366997889423,701.0416666666666,716.435,2276.723076553846,
Cyprus,2015,125.0,2,1112.4843998837882,846.0666666666666,741.44,2277.3153844384615,
Cyprus,2016,125.5,2,1184.252956849067,980.9116666666667,783.82,2117.554285764286,
Cyprus,2017,121.0,2,1195.4878456207366,996.5766666666667,814.925,2277.9553847230773,
Cyprus,2018,124.0,1,1181.9580828710034,1069.605,806.195,2278.1600004615384,
Cyprus,2019,124.0,1,1137.9948242107325,1102.3983333333333,828.2700000000001,2278.3184611153847,
Cyprus,2020,133.0,1,1140.124743122763,1049.7933333333333,778.81,2278.044614930769,
Cyprus,2021,122.0,1,1162.7980349873287,1364.9716666666666,813.345,2279.3146159384614,
Cyprus,2022,88.0,1,1177.6227271326925,1352.48,818.855,2279.194615446154,
Cyprus,2023,90.0,1,1197.543044073262,1807.1716666666669,824.4399999999999,2281.1584612,
Cyprus,2024,109.0,1,,1894.695,,1145.7866666666666,
Czechia,1990,108.43,2,29905.82894890958,2406.2,17257.82,25.0,374.6
Czechia,1991,112.4825,2,27016.464840988425,2398.2,15378.305,24.9999975,
Czechia,1992,116.1765,2,25985.726561602685,2395.4,15115.395,25.0,
Czechia,1993,118.85149999999999,2,24901.463996547205,2394.6,14657.765,21831.847500833333,
Czechia,1994,120.232,2,23566.222701246807,2391.4,14000.795,21833.996666333333,
Czechia,1995,119.64600000000002,2,22345.028804985,2387.6,14334.52,21836.145917083333,262.36
Czechia,1996,115.5,2,22813.61323883151,2387.0,14376.84,21838.295000416667,252.56
Czechia,1997,109.18100000000001,2,22165.39109353391,2385.5199999999995,14008.235,21840.444167083333,241.6
Czechia,1998,103.5555,2,21276.845622638353,2362.12,13460.08,21842.593250583333,231.95999999999998
Czechia,1999,100.405,2,19814.685487438768,2378.2200000000003,13112.835,21844.74249941667,225.68
Czechia,2000,100.0,2,21212.344991117083,2314.21,13389.54,21846.89166725,221.64000000000001
Czechia,2001,100.1106194690265,2,21321.107053799053,2309.866,13661.115,21848.120083166665,214.24
Czechia,2002,100.10468882150289,2,20745.056524123283,2021.42,13395.295,21849.34833333333,218.11999999999998
Czechia,2003,99.98220805742915,2,20984.36342165794,44185.96333333334,13954.455,21850.57658333333,218.88000000000002
Czechia,2004,99.74021185304375,2,21267.399772939396,45024.915,14338.805,20371.896922307693,217.4
